類別	代碼	名稱	法人進出	"人壽金控
進出"	"400張以上
增減"	"千張以上
增減"	"內部大戶
增減"	"400張以上
增減占比"	"千張以上
增減占比"	"內部大戶
增減占比"	"內部大戶
買賣超"	外資	投信	"內部大戶
半年內持股"	股價	股價漲幅
櫃其他	8928	鉅明	-20.0	0.0	5.0	0	14	0.01%	0.00%	0.03%	連二週買超	連二週賣超			28.8	-2.37%
櫃其他	4541	晟田	-17.0	0.0	114.0	6	19	0.16%	0.01%	0.03%	連二週買超	買轉賣			20.0	-6.98%
食品	1737	臺鹽	60.0	0.0	31.0	99	54	0.02%	0.05%	0.03%	賣轉買	連二週買超			31.0	-2.36%
食品	1236	宏亞	4.0	0.0	23.0	32	29	0.02%	0.03%	0.03%		連二週買超		創新高	12.1	-2.02%
光電	8105	凌巨	186.0	0.0	723.0	264	118	0.16%	0.06%	0.03%	連二週買超	賣轉買			9.18	-7.18%
電機	1527	鑽全	-32.0	0.0	36.0	13	37	0.03%	0.01%	0.03%	賣轉買	連三週買超			39.95	-5.11%
電子零組件	3011	今皓	3.0	0.0	-90.0	33	30	-0.08%	0.03%	0.03%	連三週買超	連二週買超			5.58	1.09%
鋼鐵	2015	豐興	50.0	0.0	193.0	116	154	0.03%	0.02%	0.03%	賣轉買	賣轉買	連三週賣超	創新高	54.5	0.93%
櫃生技	1813	寶利徠	-17.0	0.0	0.0	0	12	0.00%	0.00%	0.03%	賣轉買	買轉賣			21.55	-0.69%
電子零組件	3679	新至陞	-39.0	0.0	-12.0	0	16	-0.02%	0.00%	0.03%	賣轉買	買轉賣			63.2	-5.39%
塑膠	1307	三芳	-130.0	0.0	-358.0	0	101	-0.09%	0.00%	0.03%	賣轉買	連三週賣超			21.3	-9.75%
櫃其他	8942	森鉅	198.0	0.0	188.0	-199	42	0.11%	-0.12%	0.03%	賣轉買	賣轉買	連二週賣超		55.3	0.55%
鋼鐵	2017	官田鋼	196.0	0.0	1087.0	239	86	0.32%	0.07%	0.03%	連二週買超	賣轉買		創新高	8.19	2.89%
櫃電零	6194	育富	3.0	0.0	168.0	17	15	0.28%	0.03%	0.03%	連三週買超	連二週買超			25.0	1.21%
櫃電零	8289	泰藝電	-33.0	0.0	-70.0	-6	17	-0.10%	-0.01%	0.02%	賣轉買	買轉賣			11.5	-2.13%
櫃光電	6234	高僑	-45.0	0.0	-82.0	-9	23	-0.09%	-0.01%	0.02%	賣轉買	連三週賣超			25.6	-2.29%
鋼鐵	2008	高興昌	14.0	0.0	57.0	60	49	0.03%	0.03%	0.02%	賣轉買	連三週買超		創新高	12.3	-2.38%
電子零組件	6108	競國	-265.0	0.0	-176.0	-159	39	-0.11%	-0.10%	0.02%	賣轉買	買轉賣			21.5	-4.02%
紡織	1443	立益	-9.0	0.0	39.0	27	33	0.03%	0.02%	0.02%	連三週買超	買轉賣			9.05	0.00%
汽車	2206	三陽工業	1304.0	0.0	1305.0	1280	208	0.15%	0.15%	0.02%	連三週買超	賣轉買			21.45	1.42%
其他	8466	美吉吉-KY	-4.0	0.0	14.0	0	16	0.02%	0.00%	0.02%	連三週買超	連三週賣超		創新高	68.0	-2.86%
光電	6431	光麗-KY	14.0	0.0	64.0	22	11	0.14%	0.05%	0.02%	連三週買超	連二週買超		創新高	23.55	-1.87%
電腦週邊	6166	凌華	174.0	-10.0	169.0	21	52	0.08%	0.01%	0.02%	賣轉買	賣轉買			70.0	-2.23%
電機	1540	喬福	-28.0	0.0	27.0	0	20	0.03%	0.00%	0.02%	賣轉買	買轉賣			16.25	-3.85%
櫃生技	6574	霈方	-1.0	0.0	5.0	0	5	0.02%	0.00%	0.02%	連二週買超	連二週賣超			57.3	0.35%
櫃半導	3259	鑫創	-3.0	0.0	-2.0	16	18	-0.00%	0.02%	0.02%	賣轉買	買轉賣			13.6	0.74%
櫃營建	5520	力泰	0.0	0.0	9.0	12	13	0.01%	0.02%	0.02%	連三週買超			創新高	38.8	1.04%
通信網路	3682	亞太電	-42.0	0.0	1530.0	763	805	0.04%	0.02%	0.02%	賣轉買	買轉賣			6.57	-4.78%
電子零組件	2462	良得	-22.0	0.0	16.0	14	30	0.01%	0.01%	0.02%	賣轉買	買轉賣			26.1	-2.97%
櫃生技	6461	益得	-29.0	0.0	0.0	0	21	0.00%	0.00%	0.02%	賣轉買	買轉賣			19.2	0.79%
櫃電腦	3625	西勝	-24.0	0.0	-38.0	0	17	-0.05%	0.00%	0.02%	連二週買超	連二週賣超			14.8	-5.73%
櫃營建	6171	亞銳士	-21.0	0.0	0.0	0	15	0.00%	0.00%	0.02%	連三週買超	連三週賣超			21.3	-1.62%
櫃電零	5475	德宏	0.0	0.0	38.0	36	36	0.02%	0.02%	0.02%	連三週買超			創新高	2.11	-1.86%
櫃營建	5514	三豐	-1.0	0.0	50.0	35	35	0.03%	0.02%	0.02%	連三週買超			創新高	20.75	-1.19%
櫃營建	5324	士開	0.0	0.0	9.0	27	27	0.01%	0.02%	0.02%	連三週買超			創新高	7.72	-3.50%
櫃資服	5410	國眾	-24.0	0.0	-554.0	0	17	-0.64%	0.00%	0.02%	賣轉買	買轉賣			21.0	-2.10%
櫃電腦	8050	廣積	-24.0	0.0	-30.0	17	35	-0.02%	0.01%	0.02%	賣轉買	買轉賣			38.6	-6.54%
櫃電零	5464	霖宏	-19.0	0.0	0.0	0	14	0.00%	0.00%	0.02%	賣轉買	買轉賣			11.35	-6.97%
櫃其他	5450	寶聯通	0.0	0.0	28.0	24	24	0.02%	0.02%	0.02%	連三週買超			創新高	14.25	-1.72%
櫃其他	8401	白紗科	0.0	0.0	39.0	12	12	0.06%	0.02%	0.02%	連三週買超			創新高	11.7	-0.85%
櫃電腦	8234	新漢	-18.0	0.0	41.0	14	27	0.03%	0.01%	0.02%	連三週買超	買轉賣			22.5	-3.43%
電子零組件	3321	同泰	2.0	0.0	22.0	25	24	0.02%	0.02%	0.02%	連三週買超	賣轉買		創新高	10.55	-8.26%
其它電子	2488	漢平	-32.0	0.0	-31.0	-7	15	-0.04%	-0.01%	0.02%	賣轉買	買轉賣			28.65	-1.72%
其他	8473	山林水	20.0	0.0	37.0	40	25	0.03%	0.03%	0.02%	賣轉買	連二週買超			47.9	4.47%
櫃通信	3672	康聯訊	0.0	0.0	5.0	6	6	0.02%	0.02%	0.02%	連三週買超	連二週賣超			10.65	-8.58%
櫃半導	6716	應廣	-7.0	0.0	-168.0	0	4	-0.76%	0.00%	0.02%	賣轉買	買轉賣		創新高	70.4	-5.76%
紡織	1414	東和	6.0	0.0	6.0	43	39	0.00%	0.02%	0.02%	連三週買超	賣轉買		創新高	6.56	-2.67%
其它電子	3018	同開	-38.0	0.0	-131.0	-14	13	-0.18%	-0.02%	0.02%	賣轉買	買轉賣			18.65	-2.61%
通信網路	2412	中華電	-193.0	30.0	1140.0	-775	1303	0.01%	-0.01%	0.02%	賣轉買	買轉賣	連二週賣超		113.0	0.44%
其他	8463	潤泰材	26.0	0.0	-368.0	45	25	-0.25%	0.03%	0.02%	賣轉買	連二週買超			37.8	-4.91%
其他	8482	商億-KY	-3.0	0.0	16.0	22	18	0.01%	0.02%	0.02%	連三週買超	買轉賣		創新高	108.5	-1.81%
櫃生技	4911	德英	4.0	0.0	8.0	11	9	0.01%	0.02%	0.02%	賣轉買			創新高	39.6	-0.50%
櫃半導	6568	宏觀	-6.0	0.0	0.0	0	4	0.00%	0.00%	0.02%	連三週買超	連二週賣超		創新高	127.5	-2.67%
櫃其他	1584	精剛	4.0	0.0	-14.0	16	13	-0.02%	0.02%	0.02%	連二週買超				7.35	-2.52%
電腦週邊	2382	廣達	4676.0	-92.0	5190.0	5793	606	0.13%	0.15%	0.02%	賣轉買	連三週買超	連三週買超		67.8	-5.83%
櫃光電	3066	李洲	-7.0	0.0	7.0	8	13	0.01%	0.01%	0.02%	連三週買超	連二週賣超		創新高	5.73	-4.50%
電子通路	3055	蔚華科	74.0	0.0	193.0	71	16	0.19%	0.07%	0.02%	賣轉買	連二週買超			27.15	-1.99%
食品	1231	聯華食	10.0	0.0	3.0	34	27	0.00%	0.02%	0.02%	賣轉買	連二週買超			42.1	-0.47%
電器電纜	1616	億泰	11.0	0.0	43.0	38	30	0.02%	0.02%	0.02%	連三週買超	連二週買超			4.33	-1.37%
電機	3167	大量	38.0	0.0	67.0	40	12	0.08%	0.05%	0.01%	連三週買超	連二週買超		創新高	40.95	0.49%
櫃電機	8107	大億金茂	-16.0	0.0	-409.0	0	11	-0.55%	0.00%	0.01%	連二週買超	連二週賣超		創新高	16.0	-2.74%
櫃他電	3303	岱稜	-19.0	0.0	8.0	0	14	0.01%	0.00%	0.01%	賣轉買	買轉賣			25.1	-0.40%
資訊服務	4994	傳奇	54.0	0.0	56.0	66	16	0.05%	0.06%	0.01%	連三週買超	賣轉買		創新高	62.5	-4.87%
櫃鋼鐵	9962	有益	6.0	0.0	22.0	18	13	0.02%	0.02%	0.01%	連三週買超	連二週買超		創新高	8.74	2.82%
貿易百貨	8454	富邦媒	200.0	0.0	95.0	0	20	0.07%	0.00%	0.01%	賣轉買	連三週買超	連三週賣超		650.0	12.65%
櫃半導	3141	晶宏	-13.0	0.0	544.0	0	9	0.85%	0.00%	0.01%	賣轉買	買轉賣			23.0	-5.54%
櫃半導	3555	重鵬	2.0	0.0	8.0	7	5	0.02%	0.02%	0.01%	連三週買超			創新高	28.5	0.00%
櫃營建	8424	惠普	-8.0	0.0	0.0	0	5	0.00%	0.00%	0.01%	賣轉買	買轉賣			54.0	-0.37%
櫃生技	4161	聿新科	-10.0	0.0	25.0	0	7	0.05%	0.00%	0.01%	連三週買超	連三週賣超			33.8	3.68%
櫃生技	4120	友華	-16.0	0.0	0.0	0	11	0.00%	0.00%	0.01%	賣轉買	買轉賣			49.0	-2.97%
電子零組件	2483	百容	11.0	0.0	20.0	22	14	0.02%	0.02%	0.01%	賣轉買	連二週買超			19.2	-3.03%
電腦週邊	8114	振樺電	27.0	0.0	29.0	29	9	0.04%	0.04%	0.01%	連三週買超	賣轉買		創新高	82.7	-2.59%
化學	1709	和益	-12.0	0.0	623.0	47	57	0.13%	0.01%	0.01%	連二週買超	連三週賣超			13.0	-4.06%
造紙	1904	正隆	-2379.0	0.0	-3136.0	-1884	131	-0.28%	-0.17%	0.01%	賣轉買	買轉賣	連三週買超		22.7	-4.42%
櫃半導	3581	博磊	-9.0	0.0	0.0	0	6	0.00%	0.00%	0.01%	賣轉買	買轉賣			14.7	0.68%
櫃光電	6560	欣普羅	-3.0	0.0	0.0	0	2	0.00%	0.00%	0.01%	連二週買超	連二週賣超			30.75	0.49%
櫃電腦	6680	鑫創電子	0.0	0.0	2.0	1	2	0.01%	0.01%	0.01%	連三週買超			創新高	65.0	2.04%
櫃電零	3290	東浦	25.0	0.0	27.0	29	11	0.03%	0.03%	0.01%	連二週買超	賣轉買			13.5	-5.26%
櫃電腦	3325	旭品	-12.0	0.0	1281.0	0	8	1.72%	0.00%	0.01%	連三週買超	連二週賣超		創新高	19.1	-4.50%
櫃電腦	3521	鴻翊	-7.0	0.0	-48.0	0	5	-0.10%	0.00%	0.01%	賣轉買	買轉賣			11.4	-6.56%
櫃觀光	1268	漢來美食	-2.0	0.0	3.0	3	4	0.01%	0.01%	0.01%	賣轉買	買轉賣		創新高	133.5	-2.20%
櫃通路	6227	茂綸	-11.0	0.0	-5.0	0	8	-0.01%	0.00%	0.01%	賣轉買				22.2	1.83%
櫃鋼鐵	5013	強新	0.0	0.0	8.0	13	14	0.01%	0.01%	0.01%	連二週買超				24.5	4.93%
櫃半導	3228	金麗科	93.0	0.0	-217.0	74	7	-0.32%	0.11%	0.01%	連三週買超	連三週賣超		創新高	43.85	23.52%
櫃觀光	5301	寶得利	0.0	0.0	23.0	13	14	0.02%	0.01%	0.01%	連三週買超			創新高	10.6	-12.03%
櫃電機	4534	慶騰	0.0	0.0	6.0	8	9	0.01%	0.01%	0.01%	賣轉買				7.04	-1.68%
化學	1735	日勝化	0.0	0.0	10.0	9	10	0.01%	0.01%	0.01%	賣轉買				16.75	-2.05%
電子零組件	2328	廣宇	131.0	0.0	322.0	155	52	0.06%	0.03%	0.01%	賣轉買	賣轉買	賣轉買		17.95	-4.01%
貿易百貨	5906	台南-KY	3.0	0.0	7.0	5	3	0.02%	0.02%	0.01%	連三週買超			創新高	18.5	9.79%
櫃電腦	3479	安勤	-247.0	0.0	-170.0	-98	7	-0.24%	-0.14%	0.01%	賣轉買	買轉賣			65.8	-4.36%
櫃資服	6593	台灣銘板	0.0	0.0	2.0	2	2	0.01%	0.01%	0.01%	連三週買超			創新高	23.25	0.65%
櫃其他	8929	富堡	-8.0	0.0	0.0	0	5	0.00%	0.00%	0.01%	賣轉買	買轉賣			27.45	-5.18%
櫃半導	5302	太欣	-22.0	0.0	0.0	0	16	0.00%	0.00%	0.01%	連三週買超	連三週賣超		創新高	5.65	-1.91%
櫃電腦	5304	鼎創達	0.0	0.0	15.0	32	32	0.00%	0.01%	0.01%	連三週買超			創新高	2.19	2.82%
櫃電腦	3272	東碩	-7.0	0.0	-18.0	0	5	-0.03%	0.00%	0.01%	賣轉買	買轉賣			21.7	-5.24%
電子零組件	6153	嘉聯益	671.0	18.0	6.0	598	52	0.00%	0.11%	0.01%	連二週買超	連二週買超			27.35	-6.17%
食品	1702	南僑	-272.0	0.0	-599.0	-176	27	-0.20%	-0.06%	0.01%	賣轉買	買轉賣			45.0	-4.05%
櫃電零	8091	翔名	1.0	0.0	5.0	0	4	0.01%	0.00%	0.01%	賣轉買	連二週買超			55.6	-4.79%
櫃其他	6803	崑鼎	-11.0	0.0	0.0	0	6	0.00%	0.00%	0.01%	連三週買超	連二週賣超			214.0	-0.93%
貿易百貨	1432	大魯閣	46.0	0.0	28.0	50	15	0.02%	0.03%	0.01%	賣轉買	連二週買超			6.46	6.78%
櫃其他	4430	耀億	-7.0	0.0	0.0	0	5	0.00%	0.00%	0.01%					25.0	-1.57%
櫃電機	4533	協易機	2.0	0.0	-288.0	15	14	-0.18%	0.01%	0.01%	連二週買超			創新高	11.1	0.91%
汽車	2243	宏旭-KY	-6.0	0.0	0.0	0	4	0.00%	0.00%	0.01%	賣轉買	買轉賣			11.3	-4.64%
櫃通信	6241	易通展	-4.0	0.0	0.0	0	2	0.00%	0.00%	0.01%	賣轉買				11.65	5.91%
櫃營建	3188	鑫龍騰	2.0	0.0	16.0	12	10	0.01%	0.01%	0.01%	連二週買超	連二週買超			14.35	-1.71%
櫃營建	2596	綠意	-12.0	0.0	-19.0	0	8	-0.02%	0.00%	0.01%	連二週買超	連二週賣超			20.5	-1.44%
貿易百貨	4807	日成-KY	-5.0	0.0	0.0	0	3	0.00%	0.00%	0.01%	賣轉買	連二週買超		創新高	27.7	-12.06%
生技醫療	4144	康聯-KY	-9.0	0.0	-402.0	0	6	-0.52%	0.00%	0.01%	連三週買超	賣轉買		創新高	24.3	8.00%
鋼鐵	2014	中鴻	2300.0	0.0	4680.0	2153	109	0.33%	0.15%	0.01%	連三週買超	賣轉買			8.19	-0.61%
櫃光電	8111	立碁	32.0	0.0	1334.0	32	8	1.22%	0.03%	0.01%					9.76	-1.21%
電子零組件	3021	鴻名	-10.0	0.0	152.0	0	7	0.16%	0.00%	0.01%	賣轉買	買轉賣		創新高	12.95	-1.52%
化學	1724	台硝	5.0	0.0	30.0	12	9	0.02%	0.01%	0.01%	賣轉買	連三週買超			12.35	0.82%
櫃生技	4745	合富-KY	-7.0	0.0	-21.0	0	5	-0.03%	0.00%	0.01%	賣轉買	買轉賣			32.1	-5.87%
櫃資服	5202	力新	2.0	0.0	5.0	5	4	0.01%	0.01%	0.01%	連三週買超			創新高	14.1	-5.69%
營建	6177	達麗	452.0	0.0	-172.0	360	17	-0.07%	0.14%	0.01%	賣轉買	連三週買超			30.85	-1.91%
電子通路	2430	燦坤	-15.0	0.0	-125.0	0	11	-0.08%	0.00%	0.01%	賣轉買	買轉賣			19.0	-1.30%
貿易百貨	2936	客思達-KY	24.0	0.0	21.0	22	5	0.03%	0.03%	0.01%	連三週買超	連三週買超		創新高	14.95	0.67%
櫃紡織	4402	福大	-4.0	0.0	16.0	0	3	0.03%	0.00%	0.01%	連二週買超	連二週賣超			5.5	5.36%
櫃資服	5211	蒙恬	-4.0	0.0	-10.0	0	2	-0.03%	0.00%	0.01%	賣轉買	買轉賣			13.8	-3.50%
櫃電腦	5465	富驊	-14.0	0.0	-709.0	0	10	-0.43%	0.00%	0.01%	連三週買超	連二週賣超			15.9	-0.31%
櫃其他	8342	益張	-3.0	0.0	0.0	0	2	0.00%	0.00%	0.01%	連二週買超	連二週賣超		創新高	54.3	-2.34%
油電燃氣	9931	欣高	5.0	0.0	8.0	10	6	0.01%	0.01%	0.01%	賣轉買	連二週買超			41.3	-0.36%
櫃資服	5212	凌網	-4.0	0.0	-2.0	0	2	-0.01%	0.00%	0.01%	賣轉買	買轉賣			48.0	-1.74%
櫃電零	3276	宇環	-6.0	0.0	0.0	0	4	0.00%	0.00%	0.01%	連三週買超	連二週賣超			9.25	22.19%
紡織	1457	宜進	-63.0	0.0	-148.0	-30	17	-0.05%	-0.01%	0.01%	賣轉買	買轉賣			12.1	-3.59%
電腦週邊	9912	偉聯	2.0	0.0	20.0	5	3	0.04%	0.01%	0.01%	連三週買超	連三週買超			6.85	-0.44%
櫃光電	3297	杭特	2.0	0.0	-8.0	3	2	-0.02%	0.01%	0.01%				創新高	12.5	3.31%
通信網路	3694	海華	28.0	0.0	27.0	30	8	0.02%	0.02%	0.01%	賣轉買	連二週買超			17.5	-7.65%
電腦週邊	3701	大眾控	11.0	0.0	5.0	19	10	0.00%	0.01%	0.01%	賣轉買	連二週買超			13.55	0.00%
櫃其他	8936	國統	113.0	0.0	392.0	99	13	0.16%	0.04%	0.01%	連二週買超	連三週買超			16.9	-3.15%
櫃電零	3322	建舜電	-7.0	0.0	-80.0	0	5	-0.08%	0.00%	0.01%	賣轉買	買轉賣			6.75	-0.74%
櫃營建	4907	富宇	-9.0	0.0	-1.0	0	6	-0.00%	0.00%	0.01%	連二週買超	連二週賣超			26.3	1.94%
櫃光電	4972	湯石照明	-4.0	0.0	0.0	0	2	0.00%	0.00%	0.00%	連三週買超			創新高	30.9	0.32%
櫃電腦	5223	安力-KY	-3.0	0.0	0.0	0	2	0.00%	0.00%	0.00%	賣轉買	買轉賣			35.5	-2.87%
營建	3703	欣陸	-47.0	0.0	-175.0	0	38	-0.02%	0.00%	0.00%	連三週買超	連三週賣超			12.8	-0.39%
櫃電零	3207	耀勝	2.0	0.0	13.0	4	2	0.03%	0.01%	0.00%				創新高	11.35	0.89%
櫃觀光	8077	洛碁	-7.0	0.0	0.0	0	5	0.00%	0.00%	0.00%	賣轉買	買轉賣			10.7	-12.65%
櫃生技	6569	醫揚	-2.0	0.0	0.0	0	1	0.00%	0.00%	0.00%	連三週買超	連三週賣超		創新高	170.0	-2.30%
櫃其他	8423	保綠-KY	-2.0	0.0	1.0	0	1	0.00%	0.00%	0.00%					17.15	0.00%
櫃電零	6204	艾華	-2.0	0.0	0.0	0	1	0.00%	0.00%	0.00%	賣轉買	買轉賣			25.8	-2.27%
電子零組件	3605	宏致	-7.0	0.0	102.0	0	5	0.08%	0.00%	0.00%	賣轉買	買轉賣			24.45	-7.39%
櫃電腦	4987	科誠	0.0	0.0	1.0	0	1	0.00%	0.00%	0.00%	賣轉買				49.3	-1.40%
櫃通路	6154	順發	-4.0	0.0	1.0	0	3	0.00%	0.00%	0.00%				創新高	12.95	-1.89%
化學	4720	德淵	-65.0	0.0	403.0	-44	3	0.45%	-0.05%	0.00%	連二週買超	連二週賣超			13.55	-4.91%
櫃鋼鐵	5015	華祺	-3.0	0.0	0.0	0	2	0.00%	0.00%	0.00%	連二週買超	連二週賣超			34.75	-3.47%
櫃他電	6613	朋億	-3.0	0.0	0.0	0	1	0.00%	0.00%	0.00%	賣轉買	買轉賣			150.0	-3.85%
櫃電零	3354	律勝	-3.0	0.0	0.0	0	2	0.00%	0.00%	0.00%	連二週買超	連二週賣超		創新高	12.05	-6.59%
櫃電機	4506	崇友	-30.0	0.0	-16.0	-17	5	-0.01%	-0.01%	0.00%	賣轉買	連三週賣超			58.2	0.17%
櫃他電	3663	鑫科	-3.0	0.0	0.0	0	2	0.00%	0.00%	0.00%	賣轉買	買轉賣			18.6	-2.62%
櫃食品	1258	其祥-KY	-2.0	0.0	14.0	0	1	0.04%	0.00%	0.00%	連二週買超	買轉賣			11.4	-7.69%
電子零組件	4999	鑫禾	6.0	0.0	-49.0	7	2	-0.07%	0.01%	0.00%	賣轉買	連二週買超			42.3	0.95%
櫃半導	5344	立衛	-3.0	0.0	13.0	0	2	0.02%	0.00%	0.00%	連三週買超			創新高	10.15	-1.46%
櫃油電	8917	欣泰	0.0	0.0	3.0	12	3	0.00%	0.01%	0.00%	連三週買超			創新高	61.0	2.52%
櫃營建	3489	森寶	-3.0	0.0	-4.0	0	2	-0.00%	0.00%	0.00%	連三週買超	連三週賣超			10.25	-4.21%
櫃生技	4139	馬光-KY	-2.0	0.0	-66.0	0	1	-0.16%	0.00%	0.00%	連二週買超	連三週賣超			57.5	0.00%
櫃電零	3115	寶島極	-2.0	0.0	0.0	0	1	0.00%	0.00%	0.00%					14.5	-5.23%
油電燃氣	6505	台塑化	5889.0	0.0	6105.0	8573	216	0.06%	0.09%	0.00%	連二週買超	連二週買超	連二週賣超	創新高	91.0	-3.50%
櫃電零	3310	佳穎	-2.0	0.0	0.0	0	1	0.00%	0.00%	0.00%	賣轉買	連二週賣超			29.1	-3.00%
櫃化工	4711	永純	-2.0	0.0	0.0	0	1	0.00%	0.00%	0.00%	賣轉買				14.1	-4.41%
櫃通信	6263	普萊德	-2.0	0.0	0.0	0	1	0.00%	0.00%	0.00%	賣轉買	買轉賣			64.4	-1.23%
櫃半導	8054	安國	-2.0	0.0	-5.0	0	1	-0.01%	0.00%	0.00%	連三週買超	買轉賣			12.8	-3.40%
櫃其他	8418	捷必勝-KY	-2.0	0.0	6.0	0	1	0.01%	0.00%	0.00%	連三週買超			創新高	13.7	-1.79%
其它電子	2373	震旦行	39.0	0.0	32.0	0	3	0.01%	0.00%	0.00%	連二週買超	賣轉買			90.4	-0.11%
觀光	2701	萬企	-7.0	0.0	-643.0	0	5	-0.14%	0.00%	0.00%	賣轉買	買轉賣			12.1	-2.02%
櫃電腦	5356	協益	-2.0	0.0	1.0	0	1	0.00%	0.00%	0.00%	連三週買超	連三週賣超		創新高	29.35	0.17%
櫃電腦	5438	東友	-2.0	0.0	14.0	0	1	0.01%	0.00%	0.00%				創新高	11.65	-4.51%
櫃營建	5511	德昌	-17.0	0.0	-502.0	-11	1	-0.44%	-0.01%	0.00%	連三週買超	連三週賣超		創新高	30.05	-1.96%
汽車	2497	怡利電	14.0	0.0	24.0	11	1	0.02%	0.01%	0.00%	賣轉買	連二週買超			15.8	-3.07%
電子零組件	2440	太空梭	16.0	0.0	9.0	13	1	0.01%	0.01%	0.00%	賣轉買	連二週買超			8.44	0.48%
化學	1718	中纖	-1082.0	0.0	-957.0	-972	9	-0.06%	-0.06%	0.00%	連三週買超	買轉賣			6.44	-2.42%
櫃半導	8024	佑華	0.0	0.0	439.0	0	0	0.97%	0.00%	0.00%					8.62	-4.96%
櫃半導	6640	均華	0.0	0.0	-38.0	0	0	-0.13%	0.00%	0.00%					46.5	-2.11%
營建	2539	櫻花建	0.0	0.0	-198.0	-747	0	-0.04%	-0.16%	0.00%				創新低	34.1	0.00%
櫃半導	6594	展匯科	1.0	0.0	-9.0	0	0	-0.04%	0.00%	0.00%	買轉賣	賣轉買			24.2	-9.70%
櫃電腦	3287	廣寰科	0.0	0.0	-517.0	0	0	-1.18%	0.00%	0.00%				創新高	10.3	20.61%
櫃半導	6198	凌泰	0.0	0.0	0.0	0	0	0.00%	0.00%	0.00%				創新高	12.0	5.26%
櫃半導	6103	合邦	0.0	0.0	1.0	0	0	0.00%	0.00%	0.00%				創新高	5.85	2.63%
電腦週邊	2424	隴華	0.0	0.0	149.0	0	0	0.50%	0.00%	0.00%				創新低	22.5	13.64%
電腦週邊	2465	麗臺	1.0	0.0	411.0	0	0	0.77%	0.00%	0.00%	買轉賣	賣轉買			9.25	-6.47%
電腦週邊	3005	神基	0.0	0.0	-3978.0	-2395	0	-0.68%	-0.41%	0.00%					42.7	-4.90%
電腦週邊	5215	科嘉-KY	0.0	0.0	3479.0	723	0	5.86%	1.22%	0.00%				創新低	99.8	-8.44%
櫃半導	6291	沛亨	0.0	0.0	0.0	0	0	0.00%	0.00%	0.00%				創新低	17.05	-8.58%
半導體	3189	景碩	0.0	0.0	18235.0	16999	0	4.04%	3.77%	0.00%				創新低	62.5	18.15%
櫃電腦	3652	精聯	-1.0	0.0	510.0	0	0	1.08%	0.00%	0.00%				創新高	14.7	-1.34%
光電	2466	冠西電	-85.0	0.0	-56.0	-62	0	-0.04%	-0.04%	0.00%	連三週買超	連三週賣超		創新高	28.6	-1.55%
半導體	2434	統懋	0.0	0.0	0.0	0	0	0.00%	0.00%	0.00%				創新高	5.83	-5.20%
半導體	2408	南亞科	0.0	0.0	-4182.0	-10513	0	-0.14%	-0.34%	0.00%				創新高	61.2	-4.67%
櫃光電	3339	泰谷	0.0	0.0	0.0	0	0	0.00%	0.00%	0.00%				創新高	2.62	-1.87%
櫃光電	3434	哲固	0.0	0.0	0.0	0	0	0.00%	0.00%	0.00%					11.15	2.76%
櫃光電	3666	光耀	0.0	0.0	4.0	0	0	0.01%	0.00%	0.00%					15.1	-7.93%
櫃光電	3685	元創精密	0.0	0.0	0.0	0	0	0.00%	0.00%	0.00%					19.6	-5.77%
櫃光電	4944	兆遠	0.0	0.0	0.0	0	0	0.00%	0.00%	0.00%					9.0	-3.64%
櫃光電	4995	晶達	-1.0	0.0	-25.0	0	0	-0.06%	0.00%	0.00%	賣轉買	買轉賣			45.1	-3.53%
櫃光電	5281	大峽谷-KY	0.0	0.0	439.0	0	0	1.19%	0.00%	0.00%					21.9	-2.88%
櫃光電	5432	達威	0.0	0.0	0.0	0	0	0.00%	0.00%	0.00%				創新高	15.85	-2.76%
櫃光電	6222	上揚	1.0	0.0	0.0	0	0	0.00%	0.00%	0.00%	連二週賣超	連二週買超			12.15	-3.19%
汽車	2236	百達-KY	0.0	0.0	0.0	0	0	0.00%	0.00%	0.00%					16.2	-3.86%
櫃光電	6419	京晨科	-1.0	0.0	0.0	0	0	0.00%	0.00%	0.00%					13.8	4.94%
櫃半導	3567	逸昌	1.0	0.0	0.0	0	0	0.00%	0.00%	0.00%	買轉賣	賣轉買			25.65	1.38%
櫃鋼鐵	6248	沛波	0.0	0.0	0.0	0	0	0.00%	0.00%	0.00%				創新低	27.0	-2.17%
光電	2491	吉祥全	1.0	0.0	0.0	0	0	0.00%	0.00%	0.00%	連三週賣超	連二週買超			7.7	-4.23%
櫃電機	3226	至寶電	0.0	0.0	0.0	0	0	0.00%	0.00%	0.00%					53.5	-0.37%
櫃電機	6425	易發	0.0	0.0	0.0	0	0	0.00%	0.00%	0.00%				創新高	24.75	-2.17%
櫃電機	4568	科際精密	0.0	0.0	0.0	0	0	0.00%	0.00%	0.00%					56.0	2.19%
櫃電機	4561	健椿	-1.0	0.0	-5.0	0	0	-0.01%	0.00%	0.00%	連三週買超			創新高	27.65	-1.60%
櫃電機	4549	桓達	0.0	0.0	0.0	0	0	0.00%	0.00%	0.00%					72.4	-0.82%
櫃電機	4538	大詠城	0.0	0.0	2.0	0	0	0.00%	0.00%	0.00%				創新高	14.9	-0.67%
櫃電機	4503	金雨	-1.0	0.0	0.0	0	0	0.00%	0.00%	0.00%	連二週買超				17.2	-0.58%
櫃電機	3426	台興	0.0	0.0	-4.0	0	0	-0.02%	0.00%	0.00%					35.2	0.28%
